object_id,g1,g2,g3,g4,g5,g6,g7,g8,g9,g10,g11,g12,g13,g14,g15,g16,name,county,Longitude,Latitude,pred_absolute,pred_percent,pred_party
2650,235,14,24,0,137,7,1,6,2,1,0,2,2,0,4,1,Spulber,Vrancea,26.7291794,45.744743299999996,235,53.9,g1
2651,538,60,101,12,363,12,4,33,2,8,2,3,1,8,14,1,Stăncuța,Brăila,27.8408432,44.9102898,538,46.3,g1
2652,384,36,72,3,465,328,5,31,3,5,3,4,4,4,6,4,Stănești,Giurgiu,25.8537712,43.943222,465,34.27,g5
2653,355,68,97,10,232,34,8,61,6,3,3,10,2,10,9,3,Stănești,Gorj,23.249042499999998,45.1948662,355,38.97,g1
2654,291,31,15,13,87,15,3,16,4,1,0,1,1,0,1,2,Stănești,Vâlcea,24.0515747,44.8093643,291,60.5,g1
2655,383,161,58,24,619,43,21,53,11,5,9,6,4,13,16,6,Stănilești,Vaslui,28.2164059,46.6482811,619,43.23,g5
2656,704,57,44,15,337,26,5,58,6,7,5,3,2,6,14,2,Stănișești,Bacău,27.297412899999994,46.4289093,704,54.53,g1
2657,261,63,27,8,152,20,3,17,9,7,6,3,2,2,0,5,Stănița,Neamț,27.156633399999997,47.00897979999999,261,44.62,g1
2658,300,260,60,11,365,46,7,83,10,4,9,7,3,8,3,14,Starchiojd,Prahova,26.156280499999998,45.3502083,365,30.67,g5
2659,333,77,66,12,430,28,14,29,5,7,12,5,2,17,14,25,Stăuceni,Botoșani,26.780199100000004,47.7293396,430,39.96,g5
2660,413,64,38,3,207,12,5,22,4,1,1,6,4,5,12,5,Ștefan cel Mare,Argeș,25.2462063,44.4680672,413,51.5,g1
2661,876,189,71,32,432,86,13,59,7,15,13,10,6,16,11,16,Ștefan cel Mare,Bacău,26.855459200000002,46.196579,876,47.3,g1
2662,263,117,147,5,361,22,9,37,9,4,6,6,6,9,1,6,Ștefan cel Mare,Călărași,27.631750099999998,44.4370117,361,35.81,g5
2663,610,120,66,14,298,34,11,91,12,10,12,23,7,8,10,9,Ștefan cel Mare,Neamț,26.5472164,46.9813995,610,45.69,g1
2664,504,41,27,5,229,49,1,20,1,1,2,16,2,2,1,1,Ștefan cel Mare,Olt,24.2332611,43.8217735,504,55.88,g1
2665,843,148,55,10,175,23,3,44,4,6,6,4,2,7,12,7,Ștefan cel Mare,Vaslui,27.601215399999997,46.7341194,843,62.49,g1
2666,1245,1454,688,48,1396,540,59,504,46,19,38,41,19,77,88,75,Ștefănești,Argeș,24.942626999999998,44.876487700000006,1454,22.94,g2
